Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,28,EEE,1,1,37
Discovery,29,EEE,1,1,37
Discovery,30,EEE,2,1,37
Discovery,31,EEE,1,1,37
Discovery,32,EEE,1,1,37
Discovery,33,EEE,2,1,37
Discovery,34,EEE,1,1,37
Discovery,35,EEE,1,1,37
Discovery,36,EEE,2,1,37
Discovery,37,EEE,1,1,37
Discovery,38,EEE,1,1,37
Discovery,39,EEE,1,1,37
Discovery,40,EEE,2,1,37
Discovery,41,EEE,2,1,37
Discovery,42,EEE,2,1,37
Discovery,43,EEE,2,1,37
Discovery,44,EEE,2,1,37
Discovery,45,EEE,2,1,37
Discovery,46,EEE,1,1,37
Discovery,47,EEE,3,1,37
Discovery,48,EEE,2,1,37
Discovery,49,EEE,2,1,37
Discovery,50,EEE,1,1,37
Discovery,51,EEE,0,0,37
Discovery,52,EEE,2,1,37
Discovery,53,EEE,2,1,37
Discovery,54,EEE,2,1,37
Discovery,55,EEE,1,1,37
Discovery,56,EEE,1,1,37
Discovery,57,EEE,2,1,37
Discovery,58,EEE,3,1,37
Discovery,59,EEE,1,1,37
Discovery,60,EEE,1,1,37
Discovery,1,GGG,0,0,51
Discovery,2,GGG,0,0,51
Discovery,3,GGG,0,0,51
Discovery,4,GGG,0,0,51
Discovery,5,GGG,0,0,51
Discovery,6,GGG,0,0,51
Discovery,7,GGG,1,1,51
Discovery,8,GGG,1,1,51
Discovery,9,GGG,0,0,51
Discovery,10,GGG,0,0,51
Discovery,11,GGG,0,0,51
Discovery,12,GGG,0,0,51
Discovery,13,GGG,0,0,51
Discovery,14,GGG,1,1,51
Discovery,15,GGG,2,1,51
Discovery,16,GGG,1,1,51
Discovery,17,GGG,1,1,51
Discovery,18,GGG,2,1,51
Discovery,19,GGG,0,0,51
Discovery,20,GGG,0,0,51
Discovery,21,GGG,3,1,51
Discovery,22,GGG,1,1,51
Discovery,23,GGG,1,1,51
Discovery,24,GGG,1,1,51
Discovery,25,GGG,2,1,51
Discovery,26,GGG,2,1,51
Discovery,27,GGG,2,1,51
Discovery,28,GGG,1,1,51
